HEAD	RELATION	TAIL
Drugs, hormones and biological mediators	belongs_to_the_category_of	Corticotropin releasing factor preparation
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cortisone
Bacteria	belongs_to_the_category_of	Corynebacterium diphtheriae
Bacterial infectious disease	belongs_to_the_category_of	Corynebacterium diphtheriae
Bacterial	belongs_to_the_category_of	Corynebacterium diphtheriae
Bacteria	belongs_to_the_category_of	Rhodococcus equi
Bacterial infectious disease	belongs_to_the_category_of	Rhodococcus equi
Bacterial	belongs_to_the_category_of	Rhodococcus equi
Bacteria	belongs_to_the_category_of	Corynebacterium minutissimum
Bacterial infectious disease	belongs_to_the_category_of	Corynebacterium minutissimum
Bacterial	belongs_to_the_category_of	Corynebacterium minutissimum
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cosyntropin
Clinical finding	belongs_to_the_category_of	Coughing
Drugs, hormones and biological mediators	belongs_to_the_category_of	Coumarin anticoagulant
Viral disease	belongs_to_the_category_of	Cowpox
Virus	belongs_to_the_category_of	Cowpox
Viral disease	belongs_to_the_category_of	Cowpox virus
Virus	belongs_to_the_category_of	Cowpox virus
Bacteria	belongs_to_the_category_of	Coxiella burnetii
Bacterial infectious disease	belongs_to_the_category_of	Coxiella burnetii
Bacterial	belongs_to_the_category_of	Coxiella burnetii
Viral disease	belongs_to_the_category_of	coxsackieviruses B
Virus	belongs_to_the_category_of	coxsackieviruses B
Clinical finding	belongs_to_the_category_of	Cranial nerve disorder
autosomal dominant trait	belongs_to_the_category_of	Crouzon syndrome
Autosomal dominant inheritance	belongs_to_the_category_of	Crouzon syndrome
Neoplasm	belongs_to_the_category_of	Craniopharyngioma
Pediatric Neoplasm	belongs_to_the_category_of	Craniopharyngioma
Neoplastic disease	belongs_to_the_category_of	Craniopharyngioma
Congenital malformation	belongs_to_the_category_of	Craniosynostosis syndrome
Congenital MeSH qualifier	belongs_to_the_category_of	Craniosynostosis syndrome
Congenital defects	belongs_to_the_category_of	Craniosynostosis syndrome
Congenital disease	belongs_to_the_category_of	Craniosynostosis syndrome
Neonatal Deformity	belongs_to_the_category_of	Craniosynostosis syndrome
Congenital condition	belongs_to_the_category_of	Craniosynostosis syndrome
Drugs, hormones and biological mediators	belongs_to_the_category_of	Creatine
Analyte	belongs_to_the_category_of	Creatine kinase
Congenital malformation	belongs_to_the_category_of	Congenital hypothyroidism
Congenital MeSH qualifier	belongs_to_the_category_of	Congenital hypothyroidism
Congenital defects	belongs_to_the_category_of	Congenital hypothyroidism
Congenital disease	belongs_to_the_category_of	Congenital hypothyroidism
Neonatal Deformity	belongs_to_the_category_of	Congenital hypothyroidism
Congenital condition	belongs_to_the_category_of	Congenital hypothyroidism
Chromosome Aberrations	belongs_to_the_category_of	5p partial monosomy syndrome
Congenital chromosomal disease	belongs_to_the_category_of	5p partial monosomy syndrome
Karyotype evaluation abnormal	belongs_to_the_category_of	5p partial monosomy syndrome
autosomal recessive trait	belongs_to_the_category_of	Crigler-Najjar syndrome
Autosomal recessive inheritance	belongs_to_the_category_of	Crigler-Najjar syndrome
Congenital malformation	belongs_to_the_category_of	Criss-cross heart
Congenital MeSH qualifier	belongs_to_the_category_of	Criss-cross heart
Congenital defects	belongs_to_the_category_of	Criss-cross heart
Congenital disease	belongs_to_the_category_of	Criss-cross heart
Neonatal Deformity	belongs_to_the_category_of	Criss-cross heart
Congenital condition	belongs_to_the_category_of	Criss-cross heart
Autoimmune disease	belongs_to_the_category_of	Crohn's disease
Autoimmune state	belongs_to_the_category_of	Crohn's disease
Autoimmune reaction	belongs_to_the_category_of	Crohn's disease
Drugs, hormones and biological mediators	belongs_to_the_category_of	cromoglycate
Drugs, hormones and biological mediators	belongs_to_the_category_of	Croton oil
Disorder due to infection	belongs_to_the_category_of	Croup
Infection	belongs_to_the_category_of	Croup
Disorder of hematopoietic system	belongs_to_the_category_of	Cryoglobulinemia
Abnormality of blood and blood-forming tissues	belongs_to_the_category_of	Cryoglobulinemia
Hematological abnormality	belongs_to_the_category_of	Cryoglobulinemia
Fungi	belongs_to_the_category_of	Cryptococcosis
Mycosis	belongs_to_the_category_of	Cryptococcosis
Fungal	belongs_to_the_category_of	Cryptococcosis
Fungi	belongs_to_the_category_of	Cryptococcus neoformans
Mycosis	belongs_to_the_category_of	Cryptococcus neoformans
Fungal	belongs_to_the_category_of	Cryptococcus neoformans
Congenital malformation	belongs_to_the_category_of	Undescended testicle
Congenital MeSH qualifier	belongs_to_the_category_of	Undescended testicle
Congenital defects	belongs_to_the_category_of	Undescended testicle
Congenital disease	belongs_to_the_category_of	Undescended testicle
Neonatal Deformity	belongs_to_the_category_of	Undescended testicle
Congenital condition	belongs_to_the_category_of	Undescended testicle
Protozoa	belongs_to_the_category_of	Cryptosporidiosis
Protozoan infection	belongs_to_the_category_of	Cryptosporidiosis
Protozoa	belongs_to_the_category_of	Deprecated Cryptosporidium sp Ag [Presence] in Unspecified specimen by Immunofluorescence
Protozoan infection	belongs_to_the_category_of	Deprecated Cryptosporidium sp Ag [Presence] in Unspecified specimen by Immunofluorescence
Insecta	belongs_to_the_category_of	Culex (Genus)
Inflammation	belongs_to_the_category_of	Curling's ulcers
Endocrinology	belongs_to_the_category_of	Cushing Syndrome
Clinical finding	belongs_to_the_category_of	Cutis laxa
Chemical	belongs_to_the_category_of	Cyanide
Clinical finding	belongs_to_the_category_of	Cyanosis
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cyclacillin
Drugs, hormones and biological mediators	belongs_to_the_category_of	cyclamate
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cyclandelate
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cyclazocine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cyclizine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cyclobarbital-containing product
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cyclofenil
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cyclopenthiazide
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cyclopentolate
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cyclophosphamide
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cyclopropane-containing product
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cycloserine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cyclosporine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cyproheptadine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cyproterone
Drugs, hormones and biological mediators	belongs_to_the_category_of	cystamine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cysteamine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cysteine
Congenital malformation	belongs_to_the_category_of	Congenital cystic adenomatoid malformation of lung
Congenital MeSH qualifier	belongs_to_the_category_of	Congenital cystic adenomatoid malformation of lung
Congenital defects	belongs_to_the_category_of	Congenital cystic adenomatoid malformation of lung
Congenital disease	belongs_to_the_category_of	Congenital cystic adenomatoid malformation of lung
Neonatal Deformity	belongs_to_the_category_of	Congenital cystic adenomatoid malformation of lung
Congenital condition	belongs_to_the_category_of	Congenital cystic adenomatoid malformation of lung
autosomal recessive trait	belongs_to_the_category_of	Cystic fibrosis
Autosomal recessive inheritance	belongs_to_the_category_of	Cystic fibrosis
Helminth infection	belongs_to_the_category_of	Cysticercosis
Helminths	belongs_to_the_category_of	Cysticercosis
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cystine
autosomal recessive trait	belongs_to_the_category_of	Cystinuria
Autosomal recessive inheritance	belongs_to_the_category_of	Cystinuria
Inflammation	belongs_to_the_category_of	Cystitis
Gynecologic	belongs_to_the_category_of	Cystocele
Neoplasm	belongs_to_the_category_of	Phyllodes Tumor
Pediatric Neoplasm	belongs_to_the_category_of	Phyllodes Tumor
Neoplastic disease	belongs_to_the_category_of	Phyllodes Tumor
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cytarabine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Citicoline
Viral disease	belongs_to_the_category_of	Cytomegalovirus infection
Virus	belongs_to_the_category_of	Cytomegalovirus infection
Viral disease	belongs_to_the_category_of	Cytomegalovirus
Virus	belongs_to_the_category_of	Cytomegalovirus
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dacarbazine
Inflammation	belongs_to_the_category_of	Dacryocystitis
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dactinomycin
Drugs, hormones and biological mediators	belongs_to_the_category_of	Danazol
Congenital malformation	belongs_to_the_category_of	Dandy-Walker syndrome
Congenital MeSH qualifier	belongs_to_the_category_of	Dandy-Walker syndrome
Congenital defects	belongs_to_the_category_of	Dandy-Walker syndrome
Congenital disease	belongs_to_the_category_of	Dandy-Walker syndrome
Neonatal Deformity	belongs_to_the_category_of	Dandy-Walker syndrome
Congenital condition	belongs_to_the_category_of	Dandy-Walker syndrome
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dantrolene
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dantrolene sodium
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dapsone
Drugs, hormones and biological mediators	belongs_to_the_category_of	Daunorubicin
Chemical	belongs_to_the_category_of	Chlorophenothane
Clinical finding	belongs_to_the_category_of	Deafness
Drugs, hormones and biological mediators	belongs_to_the_category_of	Debrisoquine-containing product
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dequalinium chloride
Chemical	belongs_to_the_category_of	Diethyltoluamide
Drugs, hormones and biological mediators	belongs_to_the_category_of	Deferoxamine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Deferoxamine mesylate
Clinical finding	belongs_to_the_category_of	Dysphagia
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dehydrocholic acid-containing product
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dehydroepiandrosterone
mendelian inheritance	belongs_to_the_category_of	Déjérine-Sottas disease
Clinical finding	belongs_to_the_category_of	Delirium
Viral disease	belongs_to_the_category_of	Hepatitis Delta Virus
Virus	belongs_to_the_category_of	Hepatitis Delta Virus
Viral disease	belongs_to_the_category_of	Viral hepatitis D
Virus	belongs_to_the_category_of	Viral hepatitis D
Disorder of cardiovascular system	belongs_to_the_category_of	Multi-infarct dementia
Disorder of cardiovascular system	belongs_to_the_category_of	Vascular dementia
Drugs, hormones and biological mediators	belongs_to_the_category_of	Demeclocycline
Drugs, hormones and biological mediators	belongs_to_the_category_of	Nordazepam
Disorder of nervous system	belongs_to_the_category_of	Demyelinating Diseases
Neurologic	belongs_to_the_category_of	Demyelinating Diseases
Disorder of nervous system	belongs_to_the_category_of	Demyelination
Neurologic	belongs_to_the_category_of	Demyelination
Viral disease	belongs_to_the_category_of	Dengue
Virus	belongs_to_the_category_of	Dengue
Degeneration	belongs_to_the_category_of	Dental caries
Clinical finding	belongs_to_the_category_of	Enamel dysplasia
Iatrogenic disorder	belongs_to_the_category_of	Denture
Iatrogenic	belongs_to_the_category_of	Denture
Congenital malformation	belongs_to_the_category_of	Dentin dysplasia
Congenital MeSH qualifier	belongs_to_the_category_of	Dentin dysplasia
Congenital defects	belongs_to_the_category_of	Dentin dysplasia
Congenital disease	belongs_to_the_category_of	Dentin dysplasia
Neonatal Deformity	belongs_to_the_category_of	Dentin dysplasia
Congenital condition	belongs_to_the_category_of	Dentin dysplasia
autosomal dominant trait	belongs_to_the_category_of	Dentinogenesis imperfecta
Autosomal dominant inheritance	belongs_to_the_category_of	Dentinogenesis imperfecta
Drugs, hormones and biological mediators	belongs_to_the_category_of	Product containing deoxycholic acid
Mental disorder	belongs_to_the_category_of	Mental Depression
Psychiatric	belongs_to_the_category_of	Mental Depression
Psychiatric problem	belongs_to_the_category_of	Mental Depression
Mental disorder	belongs_to_the_category_of	Depressive disorder
Psychiatric	belongs_to_the_category_of	Depressive disorder
Psychiatric problem	belongs_to_the_category_of	Depressive disorder
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dequalinium
Arachnida (invertebrate)	belongs_to_the_category_of	Dermacentor variabilis
Autoimmune disease	belongs_to_the_category_of	Dermatitis herpetiformis
Autoimmune state	belongs_to_the_category_of	Dermatitis herpetiformis
Autoimmune reaction	belongs_to_the_category_of	Dermatitis herpetiformis
Hypersensitivity reaction	belongs_to_the_category_of	Atopic dermatitis
IgE-mediated allergic disorder	belongs_to_the_category_of	Atopic dermatitis
Type 1 hypersensitivity	belongs_to_the_category_of	Atopic dermatitis
hypersensitive syndrome	belongs_to_the_category_of	Atopic dermatitis
Inflammation	belongs_to_the_category_of	Contact dermatitis
Fungi	belongs_to_the_category_of	Dermal mycosis
Mycosis	belongs_to_the_category_of	Dermal mycosis
Fungal	belongs_to_the_category_of	Dermal mycosis
Autoimmune disease	belongs_to_the_category_of	Dermatomyositis
Autoimmune state	belongs_to_the_category_of	Dermatomyositis
Autoimmune reaction	belongs_to_the_category_of	Dermatomyositis
Fungi	belongs_to_the_category_of	Arthrodermataceae
Mycosis	belongs_to_the_category_of	Arthrodermataceae
Fungal	belongs_to_the_category_of	Arthrodermataceae
Fungi	belongs_to_the_category_of	Dermatophytosis
Mycosis	belongs_to_the_category_of	Dermatophytosis
Fungal	belongs_to_the_category_of	Dermatophytosis
Autoimmune disease	belongs_to_the_category_of	Scleroderma
Autoimmune state	belongs_to_the_category_of	Scleroderma
Autoimmune reaction	belongs_to_the_category_of	Scleroderma
Congenital malformation	belongs_to_the_category_of	Dermoid tumor
Congenital MeSH qualifier	belongs_to_the_category_of	Dermoid tumor
Congenital defects	belongs_to_the_category_of	Dermoid tumor
Congenital disease	belongs_to_the_category_of	Dermoid tumor
Neonatal Deformity	belongs_to_the_category_of	Dermoid tumor
Congenital condition	belongs_to_the_category_of	Dermoid tumor
Drugs, hormones and biological mediators	belongs_to_the_category_of	Desipramine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Deslanoside
Drugs, hormones and biological mediators	belongs_to_the_category_of	Desmopressin-containing product
Drugs, hormones and biological mediators	belongs_to_the_category_of	Desonide
Drugs, hormones and biological mediators	belongs_to_the_category_of	Desoximetasone
Drugs, hormones and biological mediators	belongs_to_the_category_of	11-deoxycorticosterone
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dexamethasone
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dexamethasone isonicotinate
Drugs, hormones and biological mediators	belongs_to_the_category_of	Phenylpropanolamine hydrochloride
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dexfenfluramine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dextrans
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dextroamphetamine sulfate
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dextroamphetamine
Congenital malformation	belongs_to_the_category_of	Dextrocardia
Congenital MeSH qualifier	belongs_to_the_category_of	Dextrocardia
Congenital defects	belongs_to_the_category_of	Dextrocardia
Congenital disease	belongs_to_the_category_of	Dextrocardia
Neonatal Deformity	belongs_to_the_category_of	Dextrocardia
Congenital condition	belongs_to_the_category_of	Dextrocardia
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dextromethorphan
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dextromoramide
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dextrothyroxine
Endocrinology	belongs_to_the_category_of	Diabetes insipidus
Autoimmune disease	belongs_to_the_category_of	Type 1 diabetes mellitus
Autoimmune state	belongs_to_the_category_of	Type 1 diabetes mellitus
Autoimmune reaction	belongs_to_the_category_of	Type 1 diabetes mellitus
autosomal recessive trait	belongs_to_the_category_of	Lipoatrophic diabetes
Autosomal recessive inheritance	belongs_to_the_category_of	Lipoatrophic diabetes
Endocrinology	belongs_to_the_category_of	Type 2 diabetes mellitus
Endocrinology	belongs_to_the_category_of	Diabetic ketoacidosis
Epiphenomena	belongs_to_the_category_of	Retinopathy due to diabetes mellitus
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diamorphine-containing product
Inflammation	belongs_to_the_category_of	Diaper rash
autosomal dominant trait	belongs_to_the_category_of	Diaphyseal dysplasia
Autosomal dominant inheritance	belongs_to_the_category_of	Diaphyseal dysplasia
Clinical finding	belongs_to_the_category_of	Diarrhea
Neoplasm	belongs_to_the_category_of	Vipoma
Pediatric Neoplasm	belongs_to_the_category_of	Vipoma
Neoplastic disease	belongs_to_the_category_of	Vipoma
Congenital malformation	belongs_to_the_category_of	Diastematomyelia
Congenital MeSH qualifier	belongs_to_the_category_of	Diastematomyelia
Congenital defects	belongs_to_the_category_of	Diastematomyelia
Congenital disease	belongs_to_the_category_of	Diastematomyelia
Neonatal Deformity	belongs_to_the_category_of	Diastematomyelia
Congenital condition	belongs_to_the_category_of	Diastematomyelia
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diatrizoate
Drugs, hormones and biological mediators	belongs_to_the_category_of	Meglumine diatrizoate-containing product
Drugs, hormones and biological mediators	belongs_to_the_category_of	Sodium diatrizoate-containing product
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diazepam
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diazoxide
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dibenzepin
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dibucaine
Drugs, hormones and biological mediators	belongs_to_the_category_of	dichloroacetate
Drugs, hormones and biological mediators	belongs_to_the_category_of	Clodronic acid-containing product
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dichlorophene-containing product
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dichlorphenamide
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diclofenac
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dicloxacillin
Helminth infection	belongs_to_the_category_of	Dicrocoeliasis
Helminths	belongs_to_the_category_of	Dicrocoeliasis
Helminth infection	belongs_to_the_category_of	Dicrocoelium dendriticum fluke
Helminths	belongs_to_the_category_of	Dicrocoelium dendriticum fluke
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dicyclomine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Zalcitabine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Didanosine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dienestrol
Protozoa	belongs_to_the_category_of	Dientamoebiasis
Protozoan infection	belongs_to_the_category_of	Dientamoebiasis
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diethylcarbamazine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Ditiocarb
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diethylpropion
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diethylstilbestrol
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diflucortolone
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diflunisal
Chromosome Aberrations	belongs_to_the_category_of	DiGeorge Syndrome
Congenital chromosomal disease	belongs_to_the_category_of	DiGeorge Syndrome
autosomal dominant trait	belongs_to_the_category_of	DiGeorge Syndrome
Autosomal dominant inheritance	belongs_to_the_category_of	DiGeorge Syndrome
Karyotype evaluation abnormal	belongs_to_the_category_of	DiGeorge Syndrome
Drugs, hormones and biological mediators	belongs_to_the_category_of	Digitoxin
Drugs, hormones and biological mediators	belongs_to_the_category_of	Digoxin
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dihydroergocornine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dihydroergocristine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dihydroergocryptine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dihydroergotamine
Drugs, hormones and biological mediators	belongs_to_the_category_of	dihydroergotoxine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Hydromorphone
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dihydrotachysterol
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dihydroxyacetone
Drugs, hormones and biological mediators	belongs_to_the_category_of	Iodoquinol
Iatrogenic disorder	belongs_to_the_category_of	Dilation and curettage
Iatrogenic	belongs_to_the_category_of	Dilation and curettage
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diltiazem
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dimercaprol
Drugs, hormones and biological mediators	belongs_to_the_category_of	Succimer
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dimethindene
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dimethyl sulfoxide-containing product
Chemical	belongs_to_the_category_of	N-nitrosodimethylamine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diminazene
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dinoprost
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dinoprostone
Helminth infection	belongs_to_the_category_of	Dioctophyma renale
Helminths	belongs_to_the_category_of	Dioctophyma renale
Helminth infection	belongs_to_the_category_of	Dioctophyme renale infection
Helminths	belongs_to_the_category_of	Dioctophyme renale infection
Helminth infection	belongs_to_the_category_of	Infection by Dipetalonema
Helminths	belongs_to_the_category_of	Infection by Dipetalonema
Helminth infection	belongs_to_the_category_of	Dipetalonema perstans (eukaryote)
Helminths	belongs_to_the_category_of	Dipetalonema perstans (eukaryote)
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diphenhydramine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diphenoxylate
Bacteria	belongs_to_the_category_of	Diphtheria
Bacterial infectious disease	belongs_to_the_category_of	Diphtheria
Bacterial	belongs_to_the_category_of	Diphtheria
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diphtheria antitoxin-containing product
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diphtheria toxoid
Drugs, hormones and biological mediators	belongs_to_the_category_of	Diphtheria + pertussis + tetanus vaccine
Helminth infection	belongs_to_the_category_of	Diphyllobothriasis
Helminths	belongs_to_the_category_of	Diphyllobothriasis
Helminth infection	belongs_to_the_category_of	Genus Diphyllobothrium
Helminths	belongs_to_the_category_of	Genus Diphyllobothrium
Helminth infection	belongs_to_the_category_of	Diphyllobothrium latum
Helminths	belongs_to_the_category_of	Diphyllobothrium latum
Clinical finding	belongs_to_the_category_of	Diplopia
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dipyridamole
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dipyrone
Helminth infection	belongs_to_the_category_of	Dirofilaria
Helminths	belongs_to_the_category_of	Dirofilaria
Helminth infection	belongs_to_the_category_of	Infection by Dirofilaria
Helminths	belongs_to_the_category_of	Infection by Dirofilaria
Disorder due to infection	belongs_to_the_category_of	Discitis
Infection	belongs_to_the_category_of	Discitis
Orthopedics	belongs_to_the_category_of	Dislocation
Drugs, hormones and biological mediators	belongs_to_the_category_of	Cromolyn sodium
Drugs, hormones and biological mediators	belongs_to_the_category_of	Edetate disodium
Drugs, hormones and biological mediators	belongs_to_the_category_of	Disopyramide
Disorder of cardiovascular system	belongs_to_the_category_of	Dissecting aortic aneurysm
Disorder of hematopoietic system	belongs_to_the_category_of	Disseminated intravascular coagulation
Abnormality of blood and blood-forming tissues	belongs_to_the_category_of	Disseminated intravascular coagulation
Hematological abnormality	belongs_to_the_category_of	Disseminated intravascular coagulation
Drugs, hormones and biological mediators	belongs_to_the_category_of	Distigmine-containing product
Clinical finding	belongs_to_the_category_of	Skin sensation disturbance
Drugs, hormones and biological mediators	belongs_to_the_category_of	Disulfiram
Drugs, hormones and biological mediators	belongs_to_the_category_of	Succinylcholine chloride
Clinical finding	belongs_to_the_category_of	Diuresis
Clinical finding	belongs_to_the_category_of	Osmotic diuretic
Inflammation	belongs_to_the_category_of	Diverticulitis of colon
Undernutrition	belongs_to_the_category_of	Diverticular disease of colon
Clinical finding	belongs_to_the_category_of	Dizziness
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dobutamine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Docosahexaenoic Acids
Drugs, hormones and biological mediators	belongs_to_the_category_of	Domperidone
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dopamine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dothiepin
Congenital malformation	belongs_to_the_category_of	Double outlet right ventricle
Congenital MeSH qualifier	belongs_to_the_category_of	Double outlet right ventricle
Congenital defects	belongs_to_the_category_of	Double outlet right ventricle
Congenital disease	belongs_to_the_category_of	Double outlet right ventricle
Neonatal Deformity	belongs_to_the_category_of	Double outlet right ventricle
Congenital condition	belongs_to_the_category_of	Double outlet right ventricle
Chromosome Aberrations	belongs_to_the_category_of	Trisomy 21
Congenital chromosomal disease	belongs_to_the_category_of	Trisomy 21
Karyotype evaluation abnormal	belongs_to_the_category_of	Trisomy 21
Drugs, hormones and biological mediators	belongs_to_the_category_of	Doxapram
Drugs, hormones and biological mediators	belongs_to_the_category_of	Doxepin
Drugs, hormones and biological mediators	belongs_to_the_category_of	Doxorubicin
Drugs, hormones and biological mediators	belongs_to_the_category_of	Doxycycline
Drugs, hormones and biological mediators	belongs_to_the_category_of	Doxylamine
Helminth infection	belongs_to_the_category_of	Infection by Dracunculus medinensis
Helminths	belongs_to_the_category_of	Infection by Dracunculus medinensis
Helminth infection	belongs_to_the_category_of	Dracunculus Nematode
Helminths	belongs_to_the_category_of	Dracunculus Nematode
Helminth infection	belongs_to_the_category_of	Dracunculus medinensis
Helminths	belongs_to_the_category_of	Dracunculus medinensis
Drugs, hormones and biological mediators	belongs_to_the_category_of	Droperidol
Clinical finding	belongs_to_the_category_of	Drowsiness
Mental disorder	belongs_to_the_category_of	Drug abuse
Psychiatric	belongs_to_the_category_of	Drug abuse
Psychiatric problem	belongs_to_the_category_of	Drug abuse
Clinical finding	belongs_to_the_category_of	Dry Eye Syndromes
Disorder due to infection	belongs_to_the_category_of	Alveolar periostitis
Infection	belongs_to_the_category_of	Alveolar periostitis
Drugs, hormones and biological mediators	belongs_to_the_category_of	Pentetic acid-containing product
Congenital malformation	belongs_to_the_category_of	Duane's syndrome
Congenital MeSH qualifier	belongs_to_the_category_of	Duane's syndrome
Congenital defects	belongs_to_the_category_of	Duane's syndrome
Congenital disease	belongs_to_the_category_of	Duane's syndrome
Neonatal Deformity	belongs_to_the_category_of	Duane's syndrome
Congenital condition	belongs_to_the_category_of	Duane's syndrome
X-linked inheritance	belongs_to_the_category_of	Duchenne muscular dystrophy
X-linked hereditary disease	belongs_to_the_category_of	Duchenne muscular dystrophy
Congenital malformation	belongs_to_the_category_of	Patent ductus arteriosus
Congenital MeSH qualifier	belongs_to_the_category_of	Patent ductus arteriosus
Congenital defects	belongs_to_the_category_of	Patent ductus arteriosus
Congenital disease	belongs_to_the_category_of	Patent ductus arteriosus
Neonatal Deformity	belongs_to_the_category_of	Patent ductus arteriosus
Congenital condition	belongs_to_the_category_of	Patent ductus arteriosus
Iatrogenic disorder	belongs_to_the_category_of	Dumping Syndrome
Iatrogenic	belongs_to_the_category_of	Dumping Syndrome
Inflammation	belongs_to_the_category_of	Duodenal ulcer disease
Congenital malformation	belongs_to_the_category_of	Pituitary dwarfism
Congenital MeSH qualifier	belongs_to_the_category_of	Pituitary dwarfism
Congenital defects	belongs_to_the_category_of	Pituitary dwarfism
Congenital disease	belongs_to_the_category_of	Pituitary dwarfism
Neonatal Deformity	belongs_to_the_category_of	Pituitary dwarfism
Congenital condition	belongs_to_the_category_of	Pituitary dwarfism
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dydrogesterone
Drugs, hormones and biological mediators	belongs_to_the_category_of	Dyphylline
Clinical finding	belongs_to_the_category_of	Dysarthria
autosomal recessive trait	belongs_to_the_category_of	Familial dysautonomia
Autosomal recessive inheritance	belongs_to_the_category_of	Familial dysautonomia
Congenital malformation	belongs_to_the_category_of	Dyschondroplasias
Congenital MeSH qualifier	belongs_to_the_category_of	Dyschondroplasias
Congenital defects	belongs_to_the_category_of	Dyschondroplasias
Congenital disease	belongs_to_the_category_of	Dyschondroplasias
